,index,name,street_address,city,state_abb,state,postal_code,country,address,coord_lat,coord_long,num_reviews,review_score,ranking,tag,visit_length,fee,description
506,368.0,Big Talbot Island State Park,12157 Heckscher Dr,Jacksonville,FL,Florida,32226-2528,United States,"12157 Heckscher Dr, Jacksonville, FL, 32226-2528, United States",,,158,4.5,11,"State Parks, Nature & Parks",,NO,
507,369.0,Bill Baggs Cape Florida State Park,1200 Crandon Blvd,,FL,Florida,33149-2713,United States,"1200 Crandon Blvd, , FL, 33149-2713, United States",,,869,4.5,1,"Lighthouses, Beaches, Sights & Landmarks, Nature & Parks, Outdoor Activities, State Parks",,NO,"Named after a Miami newspaper editor Bill Baggs, this state park is part of an extensive barrier island system."
508,370.0,Blackwater River State Park,7720 Deaton Bridge Rd,Holt,FL,Florida,32564-9005,United States,"7720 Deaton Bridge Rd, Holt, FL, 32564-9005, United States",,,71,4.5,1,"State Parks, Bodies of Water, Nature & Parks",,NO,"This river, which runs from Alabama to Florida, is considered one of the purest sandbottom rivers in the world."
509,371.0,Blue Spring State Park,2100 W French Ave,Orange City,FL,Florida,32763-9501,United States,"2100 W French Ave, Orange City, FL, 32763-9501, United States",,,1384,4.5,1,"State Parks, Nature & Parks",,NO,"State park offering a variety of outdoor activities including camping, hiking, canoeing, fishing, boating, snorkeling and scuba diving."
510,372.0,Bulow Creek State Park,3351 Old Dixie Hwy,Ormond Beach,FL,Florida,32174-9209,United States,"3351 Old Dixie Hwy, Ormond Beach, FL, 32174-9209, United States",,,74,4.5,7,"State Parks, Nature & Parks",,NO,
511,373.0,Bulow Plantation Ruins Historic State Park,County Road 2001 (Old King's Road),Flagler Beach,FL,Florida,,United States,"County Road 2001 (Old King's Road), Flagler Beach, FL, , United States",,,135,4.5,4,"Historic Sites, Sights & Landmarks",,NO,
512,374.0,Caladesi Island State Park,1 Causeway Blvd.,Dunedin,FL,Florida,34698-8561,United States,"1 Causeway Blvd., Dunedin, FL, 34698-8561, United States",,,998,4.5,1,"Islands, Beaches, Outdoor Activities, Nature & Parks, State Parks",,NO,
513,375.0,Camp Helen State Park,23937 Panama City Beach Pkwy,Inlet Beach,FL,Florida,32413-7369,United States,"23937 Panama City Beach Pkwy, Inlet Beach, FL, 32413-7369, United States",,,72,4.5,1,"Beaches, State Parks, Nature & Parks, Outdoor Activities, Nature & Wildlife Areas, Bodies of Water",,NO,
514,376.0,Cayo Costa State Park,,Boca Grande,FL,Florida,33922,United States,", Boca Grande, FL, 33922, United States",,,309,4.5,2,"State Parks, Nature & Parks",,NO,"Located just off Cape Coral, a ferry will take you to this island nature reserve known for its beautiful beaches and great collection of shells."
515,377.0,Cedar Key Scrub State Reserve,Rt 24,Cedar Key,FL,Florida,,United States,"Rt 24, Cedar Key, FL, , United States",,,25,3.5,15,"Nature & Wildlife Areas, Nature & Parks",,NO,
516,378.0,Cedar Key Museum State Park,12231 SW 166th Ct,Cedar Key,FL,Florida,32625-6200,United States,"12231 SW 166th Ct, Cedar Key, FL, 32625-6200, United States",,,184,4.0,3,"History Museums, Museums",,NO,Learn about the interesting history of this small town and the surrounding area.
517,379.0,Great Florida Birding and Wildlife Trail,,,FL,Florida,,United States,", , FL, , United States",,,2,4.5,"4,093","Hiking Trails, Outdoor Activities, Nature & Parks",,NO,"A 2,000 mile highway trail running from Pensacola to Jacksonville to the Florida Keys, with 515 destinations in 64 counties. Great Florida Birding and Wildlife Trail locations include public lands managed by federal, state, and local government agencies, as well as private lands run by conservation organizations, businesses and family enterprises."
518,380.0,Collier Seminole State Park,20200 Tamiami Trl E,Naples,FL,Florida,34114-8518,United States,"20200 Tamiami Trl E, Naples, FL, 34114-8518, United States",,,177,3.5,42,"Historic Sites, Sights & Landmarks",,NO,"This 7,271 acre state park lies partly within the great mangrove swamp of southern Florida, one of the largest mangrove swamps in the world. A wide variety of wildlife, including several imperiled species, inhabits this unusual blend of temperate and tropical native plant communities. Visitors can experience this park's remarkable wilderness on several trails. The Blackwater River originates in the park and meanders several miles through the mangroves to Blackwater Bay and the Ten Thousand Islands.
                  



                   The Friends of Collier-Seminole State Park offers popular daily 3-hour Guided Canoe
                  

                   Trip (9:30 AM - 12:30 PM) down the Blackwater River. No paddling experience required. All Canoes have padded seats and backrest! Please call the ranger station for trip price & reservations.
                  



                   The park has canoe rentals along with a boat ramp that provides access to the Blackwater River. Other trails offer opportunities for bicycling, hiking and nature observation. Campground sites have electricity, water, a grill and a picnic table. The restrooms have hot showers and one has a laundry facility. The park is open from 8:00 a.M. Until sunset, 365 days a year."
519,381.0,Colt Creek State Park,16000 State Road 471,Lakeland,FL,Florida,33809,United States,"16000 State Road 471, Lakeland, FL, 33809, United States",,,9,4.5,23,"Bodies of Water, Biking Trails, Nature & Parks, Outdoor Activities, Nature & Wildlife Areas, Equestrian Trails, Hiking Trails",,NO,"Over 12 miles of multi-use trails. Camping includes 2 primitive back-country sites for groups of up to 10 people, 1 primitive group site for organized youth groups and a 10 site equestrian campground. Fishing is available at 3 lakes in the park's 2 picnic areas. Visitors may bank fish or use the pier which extends 75ft out into Mac Lake. Pavilions are available for a picnic or rent for an event."
520,382.0,Constitutional Convention Museum State Park,Allen Memorial Way,Port Saint Joe,FL,Florida,,United States,"Allen Memorial Way, Port Saint Joe, FL, , United States",,,27,4.0,7,"State Parks, Nature & Parks",,NO,
521,383.0,Crystal River Archaeological State Park,3400 N Museum Pt,Crystal River,FL,Florida,34428-6207,United States,"3400 N Museum Pt, Crystal River, FL, 34428-6207, United States",,,242,4.5,8,"Historic Sites, Sights & Landmarks",,NO,
522,384.0,Crystal River Preserve State Park,3266 N Sailboat Ave,Crystal River,FL,Florida,34428-6205,United States,"3266 N Sailboat Ave, Crystal River, FL, 34428-6205, United States",,,110,4.5,12,"State Parks, Nature & Parks",,NO,"Crystal River Preserve State Park is a remnant of the Florida coastline that has changed little since Europeans arrived over 500 years ago.
                  



                   The park preserves more than 27,000 acres of diverse natural communities such as scrub, pinewoods, hardwood forests, salt marshes and mangrove islands.
                  



                   Much of the property is still untouched, allowing visitors a glimpse at what this area of Florida looked like centuries ago.
                  



                   Given the natural community diversity, the preserve is an ideal location for birding and wildlife viewing. The preserve offers several miles of hiking and biking trails and two designated kayak launches.
                  



                   From Labor Day to Memorial Day (September-May) Eco-heritage boat trips leave from the park headquarters.
                  

                   The 1.5-hour boat tour gives visitors the opportunity to see coastal marsh and learn how it and the associated marine estuary provided for the ancient river dwellers that once lived here.
                  

                   The 24-passenger vessel “Monroe” runs on Monday, Wednesday, and Friday at 10:30 a.m. and 1:30 p.m., weather permitting. The cost is $15.00 for adults, $10.00 for children under 12 years of age, children 6 years of age and under are free. Boat tickets can be purchased one hour prior to departure, forms of payment accepted are cash or check."
523,385.0,Curry Hammock State Park,"U.S. 1, Mile Marker 56.2",Marathon,FL,Florida,33050,United States,"U.S. 1, Mile Marker 56.2, Marathon, FL, 33050, United States",,,379,4.0,12,"State Parks, Nature & Parks",,NO,
524,386.0,Dade Battlefield State Park,,Bushnell,FL,Florida,,United States,", Bushnell, FL, , United States",,,77,4.5,2,"Battlefields, State Parks, Nature & Parks, Sights & Landmarks",,NO,
525,387.0,Dagny Johnson Key Largo Hammock Botanical State Park,County Road 905,,FL,Florida,,United States,"County Road 905, , FL, , United States",,,124,3.5,25,"State Parks, Nature & Parks",,NO,
526,388.0,De Leon Springs State Park,,,FL,Florida,32130,United States,", , FL, 32130, United States",,,116,4.5,"1,123","State Parks, Nature & Parks",,NO,"Swim or tube in the refreshing 72-degree spring-fed pool, Ponce De Leon's fabled Fountain of Youth, just a few steps away from the Griddle House. Walk the nature trail or explore the winding, swamp-edging Wild Persimmon hiking trail. Enjoy pancakes at the Old Spanish Sugar Mill Grill and Griddle House."
527,389.0,Fort De Soto Park,3500 Pinellas Bayway S,Tierra Verde,FL,Florida,33715,United States,"3500 Pinellas Bayway S, Tierra Verde, FL, 33715, United States",,,2201,4.5,1,"State Parks, Nature & Parks",,NO,
528,390.0,Deer Lake State Park,6350 E. County Rd 30-A,Santa Rosa Beach,FL,Florida,32459,United States,"6350 E. County Rd 30-A, Santa Rosa Beach, FL, 32459, United States",,,49,4.5,5,"State Parks, Nature & Parks",,NO,
529,391.0,Delnor-Wiggins Pass State Park,11100 Gulfshore Drive,Naples,FL,Florida,34108,United States,"11100 Gulfshore Drive, Naples, FL, 34108, United States",,,1259,4.5,7,"State Parks, Nature & Parks",,NO,
530,392.0,Devil's Millhopper Geological State Park,4732 Millhopper Road,Gainesville,FL,Florida,32653,United States,"4732 Millhopper Road, Gainesville, FL, 32653, United States",,,386,4.5,6,"State Parks, Nature & Parks",,NO,
531,393.0,Don Pedro Island State Park,8450 Placida Rd,Cape Haze,FL,Florida,33946-2402,United States,"8450 Placida Rd, Cape Haze, FL, 33946-2402, United States",,,33,4.5,1,"State Parks, Nature & Parks",,NO,
532,394.0,Dudley Farm Historic State Park,18730 W Newberry Rd,Newberry,FL,Florida,32669,United States,"18730 W Newberry Rd, Newberry, FL, 32669, United States",,,55,4.5,1,"Biking Trails, State Parks, Nature & Parks, Outdoor Activities, Traveler Resources, Visitor Centers, Gardens, Hiking Trails",,NO,"Dudley Farm near Gainesville is an early pioneer farm established before the Civil War. Currently it covers 325 of the original 640 acres that were operated by the Dudley family for three generations. An authentic working farm, the homestead consists of eighteen buildings. These are restored - NOT recreated - and include the family farmhouse with original furnishings, an 1880's kitchen outbuilding, a general store and post office, and a cane syrup complex. Park staff in period clothing perform daily chores, raising crops, and tending to livestock. The farm features seasonal cane grindings, corn shuckings, and heritage varieties of livestock and plants. Deer, wild turkeys, gopher tortoises, and bluebirds are still seen in the fields. Our hope is that it will become not simply a static historic site, but rather a living laboratory where future Floridians can step back in time to feel what it is like to till the earth, plow a field, plant a crop, bring the harvest in, mark the changes of the seasons, and like the Dudleys, call a place home."
533,395.0,Dunns Creek State Park,U.S. 17 North,Pomona Park,FL,Florida,32181,United States,"U.S. 17 North, Pomona Park, FL, 32181, United States",,,6,3.0,1,"State Parks, Nature & Parks",,NO,
534,396.0,River Park Marina,500 E Prima Vista Blvd,Port Saint Lucie,FL,Florida,34983-2255,United States,"500 E Prima Vista Blvd, Port Saint Lucie, FL, 34983-2255, United States",,,10,4.0,13,"Bodies of Water, Outdoor Activities, Fun & Games, Nature & Parks, Hiking Trails, Playgrounds, Nature & Wildlife Areas",,NO,"This 12-acre island park on the St. Lucie River offers a boat launch, fishing, playground and nature trail through a floodplain swamp. Rentals: open space, canoes/kayaks and pavilion."
535,397.0,Eden Gardens State Park,181 Eden Gardens Rd,Point Washington,FL,Florida,32459-5973,United States,"181 Eden Gardens Rd, Point Washington, FL, 32459-5973, United States",,,151,4.5,1,"Historic Sites, Gardens, Sights & Landmarks, Nature & Parks, State Parks",,NO,"Formerly the estate of the William Henry Wesley family, this lovely park features the Wesley mansion, manicured lawns and moss-draped gardens."
536,398.0,Edward Ball Wakulla Springs State Park,465 Wakulla Park Dr,Wakulla Springs,FL,Florida,32327-0380,United States,"465 Wakulla Park Dr, Wakulla Springs, FL, 32327-0380, United States",,,632,4.5,1,"State Parks, Nature & Parks",,NO,
537,0.0,Skookumchuck Narrows Provincial Park,Egmont Road,Egmont,British Columbia,British Columbia,,Canada,"Egmont Road, Egmont, British Columbia, , Canada",,,199,4.5,1,"National Parks, Nature & Parks",,NO,
538,1.0,Old Corkscrew Golf Club,17320 Corkscrew Rd,Estero,FL,Florida,33928-9417,United States,"17320 Corkscrew Rd, Estero, FL, 33928-9417, United States",,,123,4.5,5,"Golf Courses, Outdoor Activities",,NO,
539,2.0,Fakahatchee Strand Preserve State Park & Boardwalk,137 Coastline Drive,Copeland,FL,Florida,34137,United States,"137 Coastline Drive, Copeland, FL, 34137, United States",,,193,4.5,1,"State Parks, Nature & Wildlife Areas, Nature & Parks",,NO,"At more than 85,000 acres, Fakahatchee Strand Preserve State Park is Florida's largest state park. More native orchid species, including the rare Ghost Orchid,grow in this wilderness than anywhere else in the United States. The park's wildlife is as diverse as its flora. Rare species such as the American crocodile and West Indian manatee live in the waterways to the south, while Florida black bears, Everglades mink and endangered Florida panthers inhabit orther regions of the park. For many, the most memorable introduction to this wilderness is a swamp walk. strolling through the slow moving slough waters with a Friends of Fakahatchee naturalist."
540,3.0,Falling Waters State Park,1130 State Park Rd,Chipley,FL,Florida,32428-4455,United States,"1130 State Park Rd, Chipley, FL, 32428-4455, United States",,,213,4.0,1,"Historic Walking Areas, Nature & Wildlife Areas, Sights & Landmarks, Nature & Parks, State Parks, Waterfalls",,NO,
541,4.0,Fanning Springs State Park,18020 NW US Highway 19,Fanning Springs,FL,Florida,32693-7025,United States,"18020 NW US Highway 19, Fanning Springs, FL, 32693-7025, United States",,,91,4.5,1,"State Parks, Nature & Parks",,NO,
542,5.0,Faver-Dykes State Park,1000 Faver-Dykes Road,St. Augustine,FL,Florida,32086-8078,United States,"1000 Faver-Dykes Road, St. Augustine, FL, 32086-8078, United States",,,68,4.0,65,"State Parks, Nature & Parks",,NO,
543,6.0,Florida Caverns State Park,3345 Caverns Rd,Marianna,FL,Florida,32446-1892,United States,"3345 Caverns Rd, Marianna, FL, 32446-1892, United States",,,623,4.5,1,"Geologic Formations, Caverns & Caves, Nature & Parks, State Parks",,NO,
544,7.0,Forest Capital Musem,204 Forest Park Dr,Perry,FL,Florida,32348-6320,United States,"204 Forest Park Dr, Perry, FL, 32348-6320, United States",,,14,3.5,2,"Specialty Museums, Museums",,NO,
545,8.0,Fort Clinch State Park,2601 Atlantic Ave,Fernandina Beach,FL,Florida,32034-2203,United States,"2601 Atlantic Ave, Fernandina Beach, FL, 32034-2203, United States",,,2491,4.5,1,"Historic Sites, Military Bases & Facilities, Sights & Landmarks, Nature & Parks, State Parks",,NO,
546,9.0,Fort Cooper State Park,3100 S Old Floral City Rd,Inverness,FL,Florida,34450-6913,United States,"3100 S Old Floral City Rd, Inverness, FL, 34450-6913, United States",,,61,4.0,5,"State Parks, Nature & Parks",,NO,
547,10.0,Stephen Foster Folk Culture Center State Park,,White Springs,FL,Florida,32096,United States,", White Springs, FL, 32096, United States",,,139,4.5,1,"Art Museums, Museums",,NO,
548,11.0,Fort George Island Cultural State Park,State Road A1A,Jacksonville,FL,Florida,32226,United States,"State Road A1A, Jacksonville, FL, 32226, United States",,,32,4.5,44,"State Parks, Nature & Parks",,NO,
549,12.0,Fort Mose,15 Fort Mose Trl,St. Augustine,FL,Florida,32084-1165,United States,"15 Fort Mose Trl, St. Augustine, FL, 32084-1165, United States",,,70,4.5,58,"Historic Sites, Sights & Landmarks",,NO,This fort is the first sanctioned settlement of black people in the U.S.
550,13.0,Fort Pierce Inlet State Park,905 Shorewinds Dr,Fort Pierce,FL,Florida,34949-1549,United States,"905 Shorewinds Dr, Fort Pierce, FL, 34949-1549, United States",,,246,4.5,3,,,NO,
551,14.0,Fort Zachary Taylor Historic State Park,601 Howard England Way,,FL,Florida,33040-8395,United States,"601 Howard England Way, , FL, 33040-8395, United States",,,4657,4.5,13,"Beaches, Historic Sites, Sights & Landmarks, Outdoor Activities, Nature & Parks, State Parks",,NO,"Historic site of a Civil War-era fort, currently being excavated; also has a beautiful beach for swimming and snorkeling."
552,15.0,Fred Gannon Rocky Bayou State Park,4281 State Road 20,Niceville,FL,Florida,32578,United States,"4281 State Road 20, Niceville, FL, 32578, United States",,,117,4.5,2,"State Parks, Nature & Parks",,NO,"Named for the Air Force Colonal who was instrumental in its creation, this 357-acre park offers many recreational opportunities and diverse plant communities."
553,16.0,Gainesville-Hawthorne State Trail,3400 SE 15th St,Gainesville,FL,Florida,32641-1405,United States,"3400 SE 15th St, Gainesville, FL, 32641-1405, United States",,,32,4.5,20,"Hiking Trails, Outdoor Activities, Nature & Parks",,NO,
554,17.0,Gamble Plantation Historic State Park,3708 Patten Ave,Ellenton,FL,Florida,34222,United States,"3708 Patten Ave, Ellenton, FL, 34222, United States",,,155,4.0,2,"Historic Sites, State Parks, Sights & Landmarks, Nature & Parks, Farms",,NO,
555,18.0,Gamble Rogers Memorial State Recreation Area,3100 S Ocean Shore Blvd,Flagler Beach,FL,Florida,32136-4109,United States,"3100 S Ocean Shore Blvd, Flagler Beach, FL, 32136-4109, United States",,,168,4.5,1,"State Parks, Nature & Parks",,NO,
556,19.0,Gasparilla Island State Park,,Boca Grande,FL,Florida,,United States,", Boca Grande, FL, , United States",,,196,4.5,3,"State Parks, Nature & Parks",,NO,
557,20.0,George Crady Bridge Fishing Pier State Park,9000 Heckscher Drive,Fernandina Beach,FL,Florida,32034,United States,"9000 Heckscher Drive, Fernandina Beach, FL, 32034, United States",,,3,4.5,42,"Bridges, Piers & Boardwalks, Sights & Landmarks",,NO,
558,21.0,Grayton Beach State Park,357 Main Park Rd,Grayton Beach,FL,Florida,32459-5808,United States,"357 Main Park Rd, Grayton Beach, FL, 32459-5808, United States",,,496,4.5,2,"Beaches, State Parks, Outdoor Activities, Nature & Parks",,NO,
559,22.0,Henderson Beach State Park,17000 Emerald Coast Pkwy,Destin,FL,Florida,32541-3343,United States,"17000 Emerald Coast Pkwy, Destin, FL, 32541-3343, United States",,,1535,4.5,1,"Beaches, State Parks, Nature & Parks, Outdoor Activities",,NO,
560,23.0,Highlands Hammock State Park,5931 Hammock Rd,Sebring,FL,Florida,33872-7408,United States,"5931 Hammock Rd, Sebring, FL, 33872-7408, United States",,,496,4.5,1,"State Parks, Nature & Parks",,NO,"Hammock Inn Restaurant is located inside Highlands Hammock State Park. It is known for it's tasty homemade food, friendly staff and Wild Orange Ice Cream & Pie. It features an ""All You Can Eat Fish"" Fish Fry every Friday night from 5-8pm. No entrance fee is charged for just a restaurant visit-Based on the honor System.
                  

                   Worth the trip!"
561,24.0,Hillsborough River State Park,15402 N US Highway 301,Thonotosassa,FL,Florida,33592-2318,United States,"15402 N US Highway 301, Thonotosassa, FL, 33592-2318, United States",,,259,4.5,2,"State Parks, Bodies of Water, Nature & Parks",,NO,
562,25.0,Ellie Schiller Homosassa Springs Wildlife State Park,4150 S Suncoast Blvd,Homosassa Springs,FL,Florida,34446-1168,United States,"4150 S Suncoast Blvd, Homosassa Springs, FL, 34446-1168, United States",,,1913,4.5,1,"Nature & Wildlife Areas, State Parks, Nature & Parks",,NO,"Rehabilation center for injured animals, with a broad selection of birds and reptiles, including the manatee."
563,26.0,Honeymoon Island State Park,,Dunedin,FL,Florida,,United States,", Dunedin, FL, , United States",,,1854,4.5,3,"Beaches, State Parks, Outdoor Activities, Nature & Parks",,NO,
564,27.0,Hontoon Island State Park,2309 River Ridge Rd,DeLand,FL,Florida,32720-4302,United States,"2309 River Ridge Rd, DeLand, FL, 32720-4302, United States",,,189,4.5,3,"State Parks, Nature & Parks",,NO,
565,28.0,Hugh Taylor Birch State Park,3109 East Sunrise Boulevard,Fort Lauderdale,FL,Florida,33304,United States,"3109 East Sunrise Boulevard, Fort Lauderdale, FL, 33304, United States",,,670,4.5,9,"State Parks, Nature & Parks",,NO,"Smack in the middle of the city is this 180-acre park, which offers a respite from city life with picnicking, camping, swimming and canoeing and a chance to tour the home of the generous man who donated his lovely estate to Florida."
566,29.0,Ichetucknee Springs State Park,12087 SW Us Highway 27,Fort White,FL,Florida,32038-4820,United States,"12087 SW Us Highway 27, Fort White, FL, 32038-4820, United States",,,435,4.5,1,"State Parks, Nature & Parks",,NO,
567,30.0,Indian Key State Historic Site,Mile Marker 78.5,,FL,Florida,33036,United States,"Mile Marker 78.5, , FL, 33036, United States",,,201,4.5,11,"Historic Sites, Historic Walking Areas, Sights & Landmarks",,NO,
568,31.0,John D. MacArthur Beach State Park,10900 Jack Nicklaus Dr,North Palm Beach,FL,Florida,33408-3440,United States,"10900 Jack Nicklaus Dr, North Palm Beach, FL, 33408-3440, United States",,,401,4.5,1,"Islands, Beaches, Outdoor Activities, Nature & Parks, Nature & Wildlife Areas, State Parks",,NO,Reservations accepted the working day after Memorial Day. Groups limited to 25 people.
569,32.0,John Gorrie State Museum,,Apalachicola,FL,Florida,,United States,", Apalachicola, FL, , United States",,,90,4.0,6,"History Museums, Museums",,NO,
570,33.0,John Pennekamp Coral Reef State Park,102601 Overseas Highway (MM 102.5),,FL,Florida,33037,United States,"102601 Overseas Highway (MM 102.5), , FL, 33037, United States",,,4880,4.5,10,"Scuba & Snorkeling, Stand-Up Paddleboarding, Tours, Boat Tours & Water Sports, Outdoor Activities, Kayaking & Canoeing",,NO,
571,34.0,Dr. Von D. Mizell-Eula Johnson State Park,6503 N Ocean Dr,Dania Beach,FL,Florida,33004-3044,United States,"6503 N Ocean Dr, Dania Beach, FL, 33004-3044, United States",,,279,4.0,1,"State Parks, Historic Walking Areas, Nature & Parks, Sights & Landmarks, Islands, Piers & Boardwalks, Marinas",,NO,
572,35.0,Jonathan Dickinson State Park,16450 S.E. Federal Highway,Hobe Sound,FL,Florida,33455,United States,"16450 S.E. Federal Highway, Hobe Sound, FL, 33455, United States",,,307,4.5,1,"Gear Rentals, Outdoor Activities",,NO,
573,36.0,Kissimmee Prairie Preserve State Park,33104 NW 192nd Ave,Okeechobee,FL,Florida,34972-4620,United States,"33104 NW 192nd Ave, Okeechobee, FL, 34972-4620, United States",,,73,4.5,2,"State Parks, Nature & Parks",,NO,
574,37.0,Koreshan State Historic Site,3800 Corkscrew Rd,Estero,FL,Florida,33928-1919,United States,"3800 Corkscrew Rd, Estero, FL, 33928-1919, United States",,,394,4.5,2,"Historic Sites, Sights & Landmarks, Nature & Parks",,NO,"Park open daily, 365 days a year from 8:00 AM until sunset. The historic Koreshan Settlement is open daily from 8:00 AM until 5:00 PM. Camping, hiking, picnic area, playground, kayak and canoe rentals, boat launch on the Estero River, guided historic tours, Sunday Farmers Market, Yoga in the Park Tuesdays and Thursdays. Dr. Cyrus R. Teed's utopian community of 200 followers relocated from New York to Florida in 1894. Dr. Teed took the name 'Koresh,' the Hebrew translation for Cyrus, meaning shepherd. The colonists believed that the entire universe existed within a giant, hollow sphere. They conducted experiments that seemed to confirm their beliefs. The Koreshans built and operated a printing facility, boat works, cement works, sawmill, bakery, store and hostelry. Education, science and art also helped shape their community. After the death of Dr. Teed in 1908 at the age of 69, membership of his religious group began to decline. In 1961, the four remaining members deeded 305 acres of their land to the state of Florida as a park and memorial. The Koreshan Unity Settlement Historic District is on the National Register of Historic Places."
575,38.0,Lafayette Blue Springs State Park,,Mayo,FL,Florida,,United States,", Mayo, FL, , United States",,,16,4.5,1,"State Parks, Nature & Parks",,NO,
576,39.0,Lake Griffin State Park,3089 U.S. 441-27,Fruitland Park,FL,Florida,34731,United States,"3089 U.S. 441-27, Fruitland Park, FL, 34731, United States",,,76,4.0,1,"State Parks, Nature & Parks",,NO,"The park is located within an hour of central Florida attractions and theme parks, this 620 acre park is home to one of the state's largest live oak trees. A short trail near the park entrance takes visitors to the mammoth oak tree. A canal connects the park to Lake Griffin, the eighth largest lake in Florida, where visitors can enjoy boating and canoeing, as well as fishing. Anglers will find plenty of largemouth bass, bluegill, speckled perch, and catfish. Visitors can observe the park's wildlife while picnicking or strolling along the half-mile nature trail. A shady, full-facility campground beckons travelers to spend the night or an entire vacation here. There is no swimming due to a healthy alligator population. Canoe & kayak rentals are available. Located three miles north of Leesburg and 30 miles south of Ocala."
577,40.0,Lake Jackson Mounds Archaeological State Park,3600 Indian Mound Rd,Tallahassee,FL,Florida,32303-2300,United States,"3600 Indian Mound Rd, Tallahassee, FL, 32303-2300, United States",,,34,3.5,24,"History Museums, Museums",,NO,
578,41.0,Lake June-in-Winter Scrub State Park,Daffodil Rd .,Lake Placid,FL,Florida,,United States,"Daffodil Rd ., Lake Placid, FL, , United States",,,13,3.5,5,"State Parks, Nature & Parks",,NO,
579,42.0,Lake Kissimmee State Park,14248 Camp Mack Rd,Lake Wales,FL,Florida,33898-8441,United States,"14248 Camp Mack Rd, Lake Wales, FL, 33898-8441, United States",,,152,4.5,6,"State Parks, Nature & Parks",,NO,
580,43.0,Lake Louisa State Park,7305 US Highway 27,Clermont,FL,Florida,34714-9181,United States,"7305 US Highway 27, Clermont, FL, 34714-9181, United States",,,380,4.5,1,"State Parks, Nature & Parks",,NO,
581,44.0,Lake Manatee State Park,20007 E State Road 64,Bradenton,FL,Florida,34212-9431,United States,"20007 E State Road 64, Bradenton, FL, 34212-9431, United States",,,96,4.0,20,"State Parks, Nature & Parks",,NO,
582,45.0,Lake Talquin State Forest,865 Geddie Rd,Tallahassee,FL,Florida,32304-8671,United States,"865 Geddie Rd, Tallahassee, FL, 32304-8671, United States",,,20,5.0,22,"Forests, Nature & Parks",,NO,
583,46.0,Letchworth Mounds State Park,4500 Sunray Rd S,Tallahassee,FL,Florida,32309-5600,United States,"4500 Sunray Rd S, Tallahassee, FL, 32309-5600, United States",,,9,4.5,41,"State Parks, Nature & Parks",,NO,
584,47.0,Lignumvitae Key Botanical State Park,U.S. 1 at Mile Marker 78.5,,FL,Florida,33036,United States,"U.S. 1 at Mile Marker 78.5, , FL, 33036, United States",,,62,4.0,27,"State Parks, Nature & Parks",,NO,
585,48.0,Little Manatee River State Park,215 Lightfoot Rd,Wimauma,FL,Florida,33598-7518,United States,"215 Lightfoot Rd, Wimauma, FL, 33598-7518, United States",,,49,4.0,2,"State Parks, Nature & Parks",,NO,
586,49.0,Little Talbot Island State Park,12157 Heckscher Drive,Jacksonville,FL,Florida,32226,United States,"12157 Heckscher Drive, Jacksonville, FL, 32226, United States",,,524,4.5,4,Nature & Parks,,NO,"On Little Talbot Island, construction of the Timucuan State and National Parks Multi-Use Trail is underway. The first phase of the trail will span more than 2 miles through coastal habitat of Little Talbot Island."
587,50.0,Long Key State Park,Mile Marker 67.5,,FL,Florida,,United States,"Mile Marker 67.5, , FL, , United States",,,233,4.0,114,"State Parks, Nature & Parks",,NO,
588,51.0,Lovers Key State Park,8700 Estero Blvd,Fort Myers Beach,FL,Florida,33931-5126,United States,"8700 Estero Blvd, Fort Myers Beach, FL, 33931-5126, United States",,,2010,4.5,1,"State Parks, Nature & Wildlife Areas, Nature & Parks",,NO,"Park is not associated with Bonita Springs Dog Beach. Enjoy swimming, sunbathing, shelling, fishing, hiking, bicycling, wildlife watching, canoeing/kayaking, geocaching and more."
589,52.0,Sunset Beach,Sunset Blvd,Lower Township,NJ,New Jersey,08212,United States,"Sunset Blvd, Lower Township, NJ, 08212, United States",,,459,4.5,1,"Beaches, Nature & Parks, Outdoor Activities",,NO,
590,53.0,Madira Bickel Mound State Archeological Site,3708 Patten Ave,Ellenton,FL,Florida,34222-2152,United States,"3708 Patten Ave, Ellenton, FL, 34222-2152, United States",,,11,3.0,5,"State Parks, Nature & Parks",,NO,
591,54.0,Madison Blue Springs State Park,8300 NE State Road 6,Lee,FL,Florida,32059-7318,United States,"8300 NE State Road 6, Lee, FL, 32059-7318, United States",,,50,4.5,1,"State Parks, Nature & Parks",,NO,
592,55.0,Manatee Springs State Park,,Chiefland,FL,Florida,,United States,", Chiefland, FL, , United States",,,342,4.5,1,"State Parks, Nature & Parks",,NO,
593,56.0,Marjorie Kinnan Rawlings Historic State Park,18700 S County Road 325,Hawthorne,FL,Florida,32640-8403,United States,"18700 S County Road 325, Hawthorne, FL, 32640-8403, United States",,,174,4.5,1,"Historic Sites, State Parks, Nature & Parks, Sights & Landmarks",,NO,
594,57.0,Mike Roess Gold Head State Park,6239 State Road 21,Keystone Heights,FL,Florida,32656-9707,United States,"6239 State Road 21, Keystone Heights, FL, 32656-9707, United States",,,42,4.5,1,"State Parks, Nature & Parks",,NO,
595,58.0,Myakka River State Park,13208 State Road 72,Sarasota,FL,Florida,34241-9546,United States,"13208 State Road 72, Sarasota, FL, 34241-9546, United States",,,2350,4.5,6,"Nature & Wildlife Areas, Scenic Drives, Nature & Parks, Outdoor Activities, Sights & Landmarks, State Parks",,NO,
